Category,Requirement,Points
Software Version Control,Repository is created on GitHub,2
Software Version Control,Files are frequently committed to the repository,3
Software Version Control,Commit messages include an appropriate level of detail,2
Software Version Control,Repository is organized and includes relevant information and project files,3
Documentation,"Code is well commented with concise, relevant notes",3
Documentation,GitHub README file includes a concise project overview,2
Documentation,GitHub README file includes detailed usage and installation instructions,2
Documentation,"GitHub README includes either examples of the application, or the results and a summary of the analysis",3
Analysis and Conclusion,Findings are strongly supported with numbers and visualizations,10
Analysis and Conclusion,Write-up summarizes major findings and implications at a professional level,10
Analysis and Conclusion,Each question in the project proposal is answered with precise descriptions and findings,5
Analysis and Conclusion,"Each question response is supported with a well-discerned statistical analysis from lessons, such as aggregation, correlation, comparison, summary statistics, sentiment analysis, and time series analysis",5
Visualizations,6â€“8 visualizations of data (at least two per question),10
Visualizations,Clear and accurate labeling of images,5
Visualizations,Visualizations supported with ample and precise explanation,5
Presentation Requirements,An executive summary or overview of the project and project goals,5
Presentation Requirements,"An overview of the data collection, cleanup, and exploration processes",5
Presentation Requirements,The approach that your group took in achieving the project goals,5
Presentation Requirements,"Any additional questions that surfaced, what your group might research next if more time was available, or share a plan for future development",5
Presentation Requirements,The results and conclusions of the application or analysis,5
Presentation Requirements,Slides effectively demonstrate the project,3
Presentation Requirements,Slides are visually clean and professional,2
