Entity,Year,Change in the number of international immigrants in the previous five years
Afghanistan,1995,13836
Afghanistan,2000,4395
Afghanistan,2005,11397
Afghanistan,2010,14962
Afghanistan,2015,237156
Afghanistan,2020,-195334
Africa,1995,667411
Africa,2000,-1305400
Africa,2005,988410
Africa,2010,1766590
Africa,2015,5054115
Africa,2020,2528672
Albania,1995,5341
Albania,2000,5341
Albania,2005,-11956
Albania,2010,-11955
Albania,2015,-753
Albania,2020,-3221
Algeria,1995,-11922
Algeria,2000,-11922
Algeria,2005,-52382
Algeria,2010,19540
Algeria,2015,22205
Algeria,2020,10905
American Samoa,1995,1815
American Samoa,2000,1814
American Samoa,2005,-679
American Samoa,2010,-678
American Samoa,2015,-42
American Samoa,2020,95
Andorra,1995,5315
Andorra,2000,-2059
Andorra,2005,8151
Andorra,2010,1755
Andorra,2015,-9789
Andorra,2020,3310
Angola,1995,6296
Angola,2000,6295
Angola,2005,16223
Angola,2010,274036
Angola,2015,295811
Angola,2020,24256
Anguilla,1995,747
Anguilla,2000,746
Anguilla,2005,621
Anguilla,2010,419
Anguilla,2015,368
Anguilla,2020,244
Antigua and Barbuda,1995,5521
Antigua and Barbuda,2000,5521
Antigua and Barbuda,2005,1670
Antigua and Barbuda,2010,1671
Antigua and Barbuda,2015,1670
Antigua and Barbuda,2020,1304
Argentina,1995,-54850
Argentina,2000,-54850
Argentina,2005,133944
Argentina,2010,131794
Argentina,2015,280344
Argentina,2020,195427
Armenia,1995,35210
Armenia,2000,-36099
Armenia,2005,-188711
Armenia,2010,-258042
Armenia,2015,-19948
Armenia,2020,-850
Aruba,1995,7830
Aruba,2000,7830
Aruba,2005,2436
Aruba,2010,1788
Aruba,2015,1786
Aruba,2020,17479
Asia,1995,-1791905
Asia,2000,2648942
Asia,2005,4182801
Asia,2010,12873853
Asia,2015,11067609
Asia,2020,8427253
Australia,1995,198117
Australia,2000,232920
Australia,2005,491780
Australia,2010,1004950
Australia,2015,846750
Australia,2020,956130
Australia and New Zealand,1995,268687
Australia and New Zealand,2000,323116
Australia and New Zealand,2005,652919
Australia and New Zealand,2010,1112441
Australia and New Zealand,2015,939043
Australia and New Zealand,2020,1298118
Austria,1995,101654
Austria,2000,101654
Austria,2005,130617
Austria,2010,147737
Austria,2015,208222
Austria,2020,255060
Azerbaijan,1995,-16530
Azerbaijan,2000,-16530
Azerbaijan,2005,-25706
Azerbaijan,2010,-24933
Azerbaijan,2015,-12542
Azerbaijan,2020,-12131
Bahamas,1995,4799
Bahamas,2000,4800
Bahamas,2005,9077
Bahamas,2010,9214
Bahamas,2015,4496
Bahamas,2020,4342
Bahrain,1995,32767
Bahrain,2000,33382
Bahrain,2005,164657
Bahrain,2010,262388
Bahrain,2015,56081
Bahrain,2020,213607
Bangladesh,1995,53118
Bangladesh,2000,53118
Bangladesh,2005,74417
Bangladesh,2010,283276
Bangladesh,2015,76633
Bangladesh,2020,693229
Barbados,1995,2200
Barbados,2000,2200
Barbados,2005,2200
Barbados,2010,2201
Barbados,2015,1650
Barbados,2020,394
Belarus,1995,-62695
Belarus,2000,-62696
Belarus,2005,-16604
Belarus,2010,-16604
Belarus,2015,-7473
Belarus,2020,-15815
Belgium,1995,7420
Belgium,2000,-19635
Belgium,2005,-19635
Belgium,2010,255073
Belgium,2015,279682
Belgium,2020,221991
Belize,1995,3042
Belize,2000,3042
Belize,2005,4950
Belize,2010,4952
Belize,2015,8225
Belize,2020,7428
Benin,1995,28952
Benin,2000,28952
Benin,2005,113665
Benin,2010,60905
Benin,2015,57059
Benin,2020,27992
Bermuda,1995,993
Bermuda,2000,1008
Bermuda,2005,424
Bermuda,2010,439
Bermuda,2015,665
Bermuda,2020,527
Bhutan,1995,4165
Bhutan,2000,4165
Bhutan,2005,8142
Bhutan,2010,8141
Bhutan,2015,2686
Bhutan,2020,2506
Bolivia,1995,9840
Bolivia,2000,9060
Bolivia,2005,15087
Bolivia,2010,15101
Bolivia,2015,20162
Bolivia,2020,21113
Bonaire Sint Eustatius and Saba,1995,2091
Bonaire Sint Eustatius and Saba,2000,-714
Bonaire Sint Eustatius and Saba,2005,12
Bonaire Sint Eustatius and Saba,2010,6542
Bonaire Sint Eustatius and Saba,2015,3630
Bonaire Sint Eustatius and Saba,2020,1650
Bosnia and Herzegovina,1995,13476
Bosnia and Herzegovina,2000,13476
Bosnia and Herzegovina,2005,-35665
Bosnia and Herzegovina,2010,-8342
Bosnia and Herzegovina,2015,-348
Bosnia and Herzegovina,2020,-2555
Botswana,1995,12658
Botswana,2000,34766
Botswana,2005,9727
Botswana,2010,10202
Botswana,2015,8190
Botswana,2020,7215
Brazil,1995,-56960
Brazil,2000,-56961
Brazil,2005,-46014
Brazil,2010,-45942
Brazil,2015,117664
Brazil,2020,369404
British Virgin Islands,1995,2011
British Virgin Islands,2000,2912
British Virgin Islands,2005,2058
British Virgin Islands,2010,2060
British Virgin Islands,2015,2459
British Virgin Islands,2020,2629
Brunei,1995,11548
Brunei,2000,11548
Brunei,2005,2145
Brunei,2010,2146
Brunei,2015,2146
Brunei,2020,9226
Bulgaria,1995,10925
Bulgaria,2000,10925
Bulgaria,2005,17714
Bulgaria,2010,15213
Bulgaria,2015,47516
Bulgaria,2020,60560
Burkina Faso,1995,114452
Burkina Faso,2000,56259
Burkina Faso,2005,77295
Burkina Faso,2010,76780
Burkina Faso,2015,30238
Burkina Faso,2020,19313
Burundi,1995,-78257
Burundi,2000,-129225
Burundi,2005,67146
Burundi,2010,54547
Burundi,2015,50978
Burundi,2020,46468
Cambodia,1995,53855
Cambodia,2000,53855
Cambodia,2005,-31989
Cambodia,2010,-32068
Cambodia,2015,-8066
Cambodia,2020,5379
Cameroon,1995,-21176
Cameroon,2000,-17549
Cameroon,2005,38261
Cameroon,2010,25971
Cameroon,2015,216872
Cameroon,2020,70863
Canada,1995,531460
Canada,2000,647136
Canada,2005,567071
Canada,2010,682241
Canada,2015,667431
Canada,2020,620666
Cape Verde,1995,1048
Cape Verde,2000,1048
Cape Verde,2005,1673
Cape Verde,2010,1673
Cape Verde,2015,551
Cape Verde,2020,864
Caribbean,1995,90480
Caribbean,2000,95309
Caribbean,2005,58859
Caribbean,2010,63162
Caribbean,2015,162188
Caribbean,2020,104067
Cayman Islands,1995,3351
Cayman Islands,2000,6510
Cayman Islands,2005,1503
Cayman Islands,2010,3383
Cayman Islands,2015,2131
Cayman Islands,2020,3049
Central African Republic,1995,32478
Central African Republic,2000,23817
Central African Republic,2005,-27120
Central African Republic,2010,-1724
Central African Republic,2015,-13117
Central African Republic,2020,6978
Central America,1995,-530995
Central America,2000,-191339
Central America,2005,270464
Central America,2010,372987
Central America,2015,109187
Central America,2020,441786
Central Asia,1995,-725888
Central Asia,2000,-715713
Central Asia,2005,46795
Central Asia,2010,29061
Central Asia,2015,127854
Central Asia,2020,171250
Central and Southern Asia,1995,-4920809
Central and Southern Asia,2000,-1107989
Central and Southern Asia,2005,-1285281
Central and Southern Asia,2010,822239
Central and Southern Asia,2015,-410518
Central and Southern Asia,2020,161311
Chad,1995,15242
Chad,2000,15241
Chad,2005,247305
Chad,2010,64904
Chad,2015,49934
Chad,2020,80526
Channel Islands,1995,-1141
Channel Islands,2000,3782
Channel Islands,2005,6640
Channel Islands,2010,6640
Channel Islands,2015,4726
Channel Islands,2020,1780
Chile,1995,34916
Chile,2000,34915
Chile,2005,99028
Chile,2010,99028
Chile,2015,264336
Chile,2020,1005291
China,1995,65837
China,2000,65836
China,2005,170913
China,2010,170914
China,2015,128185
China,2020,61629
Colombia,1995,2666
Colombia,2000,2666
Colombia,2005,-3086
Colombia,2010,23786
Colombia,2015,29098
Colombia,2020,1745986
Comoros,1995,-140
Comoros,2000,-140
Comoros,2005,-590
Comoros,2010,-591
Comoros,2015,-63
Comoros,2020,-59
Congo,1995,62244
Congo,2000,114245
Congo,2005,12844
Congo,2010,106449
Congo,2015,-35031
Congo,2020,-2536
Cook Islands,1995,99
Cook Islands,2000,99
Cook Islands,2005,492
Cook Islands,2010,492
Cook Islands,2015,399
Cook Islands,2020,411
Costa Rica,1995,-53341
Costa Rica,2000,-53341
Costa Rica,2005,47452
Costa Rica,2010,47381
Costa Rica,2015,5918
Costa Rica,2020,109032
Cote d'Ivoire,1995,259968
Cote d'Ivoire,2000,87250
Cote d'Ivoire,2005,101446
Cote d'Ivoire,2010,101447
Cote d'Ivoire,2015,104076
Cote d'Ivoire,2020,94244
Croatia,1995,198647
Croatia,2000,-88787
Croatia,2005,-6025
Croatia,2010,-6025
Croatia,2015,-12155
Croatia,2020,-33037
Cuba,1995,-8368
Cuba,2000,-7642
Cuba,2005,-6852
Cuba,2010,-4320
Cuba,2015,-2724
Cuba,2020,-1625
Curacao,2015,2981
Curacao,2020,19599
Cyprus,1995,18136
Cyprus,2000,18135
Cyprus,2005,42773
Cyprus,2010,65623
Cyprus,2015,-11779
Cyprus,2020,13673
Czechia,1995,55198
Czechia,2000,55197
Czechia,2005,101751
Czechia,2010,75953
Czechia,2015,17961
Czechia,2020,124467
Democratic Republic of Congo,1995,1062769
Democratic Republic of Congo,2000,-1072576
Democratic Republic of Congo,2005,-121378
Democratic Republic of Congo,2010,-33127
Democratic Republic of Congo,2015,220136
Democratic Republic of Congo,2020,142853
Denmark,1995,67919
Denmark,2000,67918
Denmark,2005,69357
Denmark,2010,60389
Denmark,2015,95104
Denmark,2020,121698
Developed regions,1995,10167883
Developed regions,2000,11026917
Developed regions,2005,12716347
Developed regions,2010,13883901
Developed regions,2015,9832221
Developed regions,2020,16858964
Djibouti,1995,-22447
Djibouti,2000,733
Djibouti,2005,-8397
Djibouti,2010,10197
Djibouti,2015,10044
Djibouti,2020,7387
Dominica,1995,602
Dominica,2000,602
Dominica,2005,1021
Dominica,2010,3366
Dominica,2015,-17
Dominica,2020,191
Dominican Republic,1995,32230
Dominican Republic,2000,32230
Dominican Republic,2005,19806
Dominican Republic,2010,20062
Dominican Republic,2015,153810
Dominican Republic,2020,54505
East Timor,1995,789
East Timor,2000,859
East Timor,2005,684
East Timor,2010,254
East Timor,2015,-3020
East Timor,2020,-121
Eastern Africa,1995,-981539
Eastern Africa,2000,-130525
Eastern Africa,2005,-58470
Eastern Africa,2010,-44992
Eastern Africa,2015,1953265
Eastern Africa,2020,985879
Eastern Asia,1995,680483
Eastern Asia,2000,753255
Eastern Asia,2005,835680
Eastern Asia,2010,833843
Eastern Asia,2015,804136
Eastern Asia,2020,1109066
Eastern Europe,1995,-651188
Eastern Europe,2000,-908339
Eastern Europe,2005,-691228
Eastern Europe,2010,-633871
Eastern Europe,2015,723303
Eastern Europe,2020,1001413
Eastern and South-Eastern Asia,1995,1503924
Eastern and South-Eastern Asia,2000,2166406
Eastern and South-Eastern Asia,2005,2472945
Eastern and South-Eastern Asia,2010,2781306
Eastern and South-Eastern Asia,2015,2267347
Eastern and South-Eastern Asia,2020,1563296
Ecuador,1995,36430
Ecuador,2000,36430
Ecuador,2005,38370
Ecuador,2010,185360
Ecuador,2015,12260
Ecuador,2020,397274
Egypt,1995,-6878
Egypt,2000,17819
Egypt,2005,100232
Egypt,2010,25011
Egypt,2015,43624
Egypt,2020,190296
El Salvador,1995,-7823
El Salvador,2000,-7824
El Salvador,2005,4316
El Salvador,2010,4313
El Salvador,2015,1717
El Salvador,2020,708
Equatorial Guinea,1995,889
Equatorial Guinea,2000,888
Equatorial Guinea,2005,2071
Equatorial Guinea,2010,2070
Equatorial Guinea,2015,200953
Equatorial Guinea,2020,21007
Eritrea,1995,552
Eritrea,2000,552
Eritrea,2005,2953
Eritrea,2010,-92
Eritrea,2015,128
Eritrea,2020,-2007
Estonia,1995,-66242
Estonia,2000,-66243
Estonia,2005,-15811
Estonia,2010,-15811
Estonia,2015,-23226
Estonia,2020,4613
Eswatini,1995,-39834
Eswatini,2000,-1073
Eswatini,2005,-692
Eswatini,2010,-755
Eswatini,2015,-285
Eswatini,2020,506
Ethiopia,1995,-348486
Ethiopia,2000,-195520
Ethiopia,2005,-96933
Ethiopia,2010,54297
Ethiopia,2015,592894
Ethiopia,2020,-76125
Europe,1995,3881602
Europe,2000,3368966
Europe,2005,6726938
Europe,2010,7041429
Europe,2015,4131923
Europe,2020,11946985
Europe and Northern America,1995,9612142
Europe and Northern America,2000,10379728
Europe and Northern America,2005,11738317
Europe and Northern America,2010,12648864
Europe and Northern America,2015,8795140
Europe and Northern America,2020,15022039
Falkland Islands,1995,13
Falkland Islands,2000,199
Falkland Islands,2005,99
Falkland Islands,2010,270
Falkland Islands,2015,135
Falkland Islands,2020,386
Faroe Islands,1995,-1385
Faroe Islands,2000,693
Faroe Islands,2005,990
Faroe Islands,2010,513
Faroe Islands,2015,389
Faroe Islands,2020,1327
Fiji,1995,-282
Fiji,2000,-282
Fiji,2005,-285
Fiji,2010,923
Fiji,2015,394
Fiji,2020,336
Finland,1995,36474
Finland,2000,36474
Finland,2005,55966
Finland,2010,36312
Finland,2015,86375
Finland,2020,71196
France,1995,190726
France,2000,190725
France,2005,458882
France,2010,572386
France,2015,568352
France,2020,646538
French Guiana,1995,6519
French Guiana,2000,6518
French Guiana,2005,9819
French Guiana,2010,9820
French Guiana,2015,9820
French Guiana,2020,13141
French Polynesia,1995,2530
French Polynesia,2000,1969
French Polynesia,2005,1957
French Polynesia,2010,-646
French Polynesia,2015,-1582
French Polynesia,2020,23
Gabon,1995,43239
Gabon,2000,43004
Gabon,2005,19393
Gabon,2010,37005
Gabon,2015,107857
Gabon,2020,37965
Gambia,1995,32767
Gambia,2000,31624
Gambia,2005,-675
Gambia,2010,3998
Gambia,2015,6703
Gambia,2020,23119
Georgia,1995,-152235
Georgia,2000,-76118
Georgia,2005,-4821
Georgia,2010,1782
Georgia,2015,3607
Georgia,2020,2683
Germany,1995,1528225
Germany,2000,1528225
Germany,2005,409816
Germany,2010,409816
Germany,2015,408155
Germany,2020,5542039
Ghana,1995,88028
Ghana,2000,-61278
Ghana,2005,118331
Ghana,2010,27834
Ghana,2015,76978
Ghana,2020,61668
Gibraltar,1995,-328
Gibraltar,2000,-327
Gibraltar,2005,1157
Gibraltar,2010,1158
Gibraltar,2015,696
Gibraltar,2020,125
Greece,1995,239711
Greece,2000,253815
Greece,2005,79042
Greece,2010,130442
Greece,2015,-78225
Greece,2020,97532
Greenland,1995,-2161
Greenland,2000,-520
Greenland,2005,-45
Greenland,2010,-465
Greenland,2015,-82
Greenland,2020,-110
Grenada,1995,1281
Grenada,2000,1281
Grenada,2005,77
Grenada,2010,78
Grenada,2015,77
Grenada,2020,156
Guadeloupe,1995,8622
Guadeloupe,2000,8622
Guadeloupe,2005,5877
Guadeloupe,2010,5877
Guadeloupe,2015,-3986
Guadeloupe,2020,-750
Guam,1995,2157
Guam,2000,2158
Guam,2005,673
Guam,2010,673
Guam,2015,673
Guam,2020,4383
Guatemala,1995,-108069
Guatemala,2000,-108069
Guatemala,2005,9095
Guatemala,2010,9172
Guatemala,2015,8466
Guatemala,2020,9459
Guinea,1995,370884
Guinea,2000,-214430
Guinea,2005,-326656
Guinea,2010,-54657
Guinea,2015,-52105
Guinea,2020,-5220
Guinea-Bissau,1995,12593
Guinea-Bissau,2000,-7511
Guinea-Bissau,2005,452
Guinea-Bissau,2010,489
Guinea-Bissau,2015,942
Guinea-Bissau,2020,-4388
Guyana,1995,2257
Guyana,2000,2258
Guyana,2005,2258
Guyana,2010,-2686
Guyana,2015,479
Guyana,2020,22508
Haiti,1995,-955
Haiti,2000,-907
Haiti,2005,-862
Haiti,2010,822
Haiti,2015,865
Haiti,2020,837
High-income countries,1995,11601476
High-income countries,2000,13745037
High-income countries,2005,17384439
High-income countries,2010,23616595
High-income countries,2015,15873562
High-income countries,2020,23381445
Honduras,1995,-120981
Honduras,2000,-120981
Honduras,2005,-527
Honduras,2010,-646
Honduras,2015,11042
Honduras,2020,865
Hong Kong,1995,225325
Hong Kong,2000,225324
Hong Kong,2005,52113
Hong Kong,2010,58715
Hong Kong,2015,61163
Hong Kong,2020,121379
Hungary,1995,-25276
Hungary,2000,-25277
Hungary,2005,69830
Hungary,2010,69829
Hungary,2015,38892
Hungary,2020,109059
Iceland,1995,3154
Iceland,2000,3154
Iceland,2005,9600
Iceland,2010,9599
Iceland,2015,3981
Iceland,2020,26352
India,1995,-642563
India,2000,-540907
India,2005,-474591
India,2010,-362722
India,2015,-363171
India,2020,-332143
Indonesia,1995,-86652
Indonesia,2000,-86653
Indonesia,2005,-2997
Indonesia,2010,18177
Indonesia,2015,30637
Indonesia,2020,17381
Iran,1995,-1353933
Iran,2000,-461199
Iran,2005,75737
Iran,2010,170191
Iran,2015,7542
Iran,2020,67296
Iraq,1995,115822
Iraq,2000,11065
Iraq,2005,-75662
Iraq,2010,-14397
Iraq,2015,238886
Iraq,2020,6414
Ireland,1995,-1069
Ireland,2000,123660
Ireland,2005,238494
Ireland,2010,141496
Ireland,2015,28714
Ireland,2020,112000
Isle of Man,1995,2117
Isle of Man,2000,2116
Isle of Man,2005,2473
Isle of Man,2010,1972
Isle of Man,2015,-1209
Isle of Man,2020,802
Israel,1995,159481
Israel,2000,59124
Israel,2005,38194
Israel,2010,66687
Israel,2015,55537
Israel,2020,-58152
Italy,1995,346735
Italy,2000,346734
Italy,2005,1833102
Italy,2010,1833103
Italy,2015,17435
Italy,2020,581670
Jamaica,1995,2238
Jamaica,2000,2239
Jamaica,2005,-668
Jamaica,2010,-607
Jamaica,2015,-512
Jamaica,2020,464
Japan,1995,287054
Japan,2000,324073
Japan,2005,325111
Japan,2010,122596
Japan,2015,98038
Japan,2020,538807
Jordan,1995,390748
Jordan,2000,390748
Jordan,2005,270895
Jordan,2010,588113
Jordan,2015,380108
Jordan,2020,290730
Kazakhstan,1995,-367232
Kazakhstan,2000,-377774
Kazakhstan,2005,228833
Kazakhstan,2010,231910
Kazakhstan,2015,211123
Kazakhstan,2020,186013
Kenya,1995,320656
Kenya,2000,89107
Kenya,2005,65502
Kenya,2010,181571
Kenya,2015,171961
Kenya,2020,-76739
Kiribati,1995,61
Kiribati,2000,60
Kiribati,2005,204
Kiribati,2010,381
Kiribati,2015,51
Kiribati,2020,207
Kuwait,1995,-152437
Kuwait,2000,205686
Kuwait,2005,205890
Kuwait,2010,541282
Kuwait,2015,991324
Kuwait,2020,244023
Kyrgyzstan,1995,-104745
Kyrgyzstan,2000,-128514
Kyrgyzstan,2005,-80425
Kyrgyzstan,2010,-77334
Kyrgyzstan,2015,-27683
Kyrgyzstan,2020,-5371
Land-locked Developing Countries (LLDC),1995,-1842786
Land-locked Developing Countries (LLDC),2000,-866231
Land-locked Developing Countries (LLDC),2005,72202
Land-locked Developing Countries (LLDC),2010,21148
Land-locked Developing Countries (LLDC),2015,2224244
Land-locked Developing Countries (LLDC),2020,1201300
Laos,1995,660
Laos,2000,-1578
Laos,2005,-1577
Laos,2010,12584
Laos,2015,12583
Laos,2020,3193
Latin America and the Caribbean,1995,-474418
Latin America and the Caribbean,2000,-121815
Latin America and the Caribbean,2005,644375
Latin America and the Caribbean,2010,1142475
Latin America and the Caribbean,2015,1114915
Latin America and the Caribbean,2020,5353120
Latvia,1995,-107914
Latvia,2000,-107915
Latvia,2005,-53453
Latvia,2010,-62939
Latvia,2015,-48368
Latvia,2020,-25996
Least developed countries,1995,621556
Least developed countries,2000,-1617829
Least developed countries,2005,-271937
Least developed countries,2010,639865
Least developed countries,2015,3008239
Least developed countries,2020,2744610
Lebanon,1995,84610
Lebanon,2000,84610
Lebanon,2005,49330
Lebanon,2010,50948
Lebanon,2015,1123068
Lebanon,2020,-203497
Lesotho,1995,-1036
Lesotho,2000,-1037
Lesotho,2005,123
Lesotho,2010,124
Lesotho,2015,2738
Lesotho,2020,2908
Less developed regions,1995,-1864064
Less developed regions,2000,913692
Less developed regions,2005,5499896
Less developed regions,2010,15652458
Less developed regions,2015,17143236
Less developed regions,2020,15780497
"Less developed regions, excluding China",1995,-2175108
"Less developed regions, excluding China",2000,606670
"Less developed regions, excluding China",2005,5238353
"Less developed regions, excluding China",2010,15383631
"Less developed regions, excluding China",2015,16896328
"Less developed regions, excluding China",2020,15570065
"Less developed regions, excluding least developed countries",1995,-2485620
"Less developed regions, excluding least developed countries",2000,2531521
"Less developed regions, excluding least developed countries",2005,5771833
"Less developed regions, excluding least developed countries",2010,15012593
"Less developed regions, excluding least developed countries",2015,14134997
"Less developed regions, excluding least developed countries",2020,13035887
Liberia,1995,113599
Liberia,2000,-56695
Liberia,2005,-64651
Liberia,2010,11948
Liberia,2015,12946
Liberia,2020,-24164
Libya,1995,50966
Libya,2000,59395
Libya,2005,57976
Libya,2010,61780
Libya,2015,83954
Libya,2020,55391
Liechtenstein,1995,2405
Liechtenstein,2000,2172
