Entity,Year,Total number of international immigrants
Afghanistan,1990,57686
Afghanistan,1995,71522
Afghanistan,2000,75917
Afghanistan,2005,87314
Afghanistan,2010,102276
Afghanistan,2015,339432
Afghanistan,2020,144098
Africa,1990,15689666
Africa,1995,16357077
Africa,2000,15051677
Africa,2005,16040087
Africa,2010,17806677
Africa,2015,22860792
Africa,2020,25389464
Albania,1990,66013
Albania,1995,71354
Albania,2000,76695
Albania,2005,64739
Albania,2010,52784
Albania,2015,52031
Albania,2020,48810
Algeria,1990,273954
Algeria,1995,262032
Algeria,2000,250110
Algeria,2005,197728
Algeria,2010,217268
Algeria,2015,239473
Algeria,2020,250378
American Samoa,1990,21283
American Samoa,1995,23098
American Samoa,2000,24912
American Samoa,2005,24233
American Samoa,2010,23555
American Samoa,2015,23513
American Samoa,2020,23608
Andorra,1990,38891
Andorra,1995,44206
Andorra,2000,42147
Andorra,2005,50298
Andorra,2010,52053
Andorra,2015,42264
Andorra,2020,45574
Angola,1990,33517
Angola,1995,39813
Angola,2000,46108
Angola,2005,62331
Angola,2010,336367
Angola,2015,632178
Angola,2020,656434
Anguilla,1990,2570
Anguilla,1995,3317
Anguilla,2000,4063
Anguilla,2005,4684
Anguilla,2010,5103
Anguilla,2015,5471
Anguilla,2020,5715
Antigua and Barbuda,1990,12029
Antigua and Barbuda,1995,17550
Antigua and Barbuda,2000,23071
Antigua and Barbuda,2005,24741
Antigua and Barbuda,2010,26412
Antigua and Barbuda,2015,28082
Antigua and Barbuda,2020,29386
Argentina,1990,1649919
Argentina,1995,1595069
Argentina,2000,1540219
Argentina,2005,1674163
Argentina,2010,1805957
Argentina,2015,2086301
Argentina,2020,2281728
Armenia,1990,658789
Armenia,1995,693999
Armenia,2000,657900
Armenia,2005,469189
Armenia,2010,211147
Armenia,2015,191199
Armenia,2020,190349
Aruba,1990,14444
Aruba,1995,22274
Aruba,2000,30104
Aruba,2005,32540
Aruba,2010,34328
Aruba,2015,36114
Aruba,2020,53593
Asia,1990,48209949
Asia,1995,46418044
Asia,2000,49066986
Asia,2005,53249787
Asia,2010,66123640
Asia,2015,77191249
Asia,2020,85618502
Australia,1990,3955213
Australia,1995,4153330
Australia,2000,4386250
Australia,2005,4878030
Australia,2010,5882980
Australia,2015,6729730
Australia,2020,7685860
Australia and New Zealand,1990,4473260
Australia and New Zealand,1995,4741947
Australia and New Zealand,2000,5065063
Australia and New Zealand,2005,5717982
Australia and New Zealand,2010,6830423
Australia and New Zealand,2015,7769466
Australia and New Zealand,2020,9067584
Austria,1990,793239
Austria,1995,894893
Austria,2000,996547
Austria,2005,1127164
Austria,2010,1274901
Austria,2015,1483123
Austria,2020,1738183
Azerbaijan,1990,360600
Azerbaijan,1995,344070
Azerbaijan,2000,327540
Azerbaijan,2005,301834
Azerbaijan,2010,276901
Azerbaijan,2015,264359
Azerbaijan,2020,252228
Bahamas,1990,26855
Bahamas,1995,31654
Bahamas,2000,36454
Bahamas,2005,45531
Bahamas,2010,54745
Bahamas,2015,59241
Bahamas,2020,63583
Bahrain,1990,173212
Bahrain,1995,205979
Bahrain,2000,239361
Bahrain,2005,404018
Bahrain,2010,666406
Bahrain,2015,722487
Bahrain,2020,936094
Bangladesh,1990,881617
Bangladesh,1995,934735
Bangladesh,2000,987853
Bangladesh,2005,1062270
Bangladesh,2010,1345546
Bangladesh,2015,1422179
Bangladesh,2020,2115408
Barbados,1990,24024
Barbados,1995,26224
Barbados,2000,28424
Barbados,2005,30624
Barbados,2010,32825
Barbados,2015,34475
Barbados,2020,34869
Belarus,1990,1248977
Belarus,1995,1186282
Belarus,2000,1123586
Belarus,2005,1106982
Belarus,2010,1090378
Belarus,2015,1082905
Belarus,2020,1067090
Belgium,1990,1280583
Belgium,1995,1288003
Belgium,2000,1268368
Belgium,2005,1248733
Belgium,2010,1503806
Belgium,2015,1783488
Belgium,2020,2005479
Belize,1990,30404
Belize,1995,33446
Belize,2000,36488
Belize,2005,41438
Belize,2010,46390
Belize,2015,54615
Belize,2020,62043
Benin,1990,76751
Benin,1995,105703
Benin,2000,134655
Benin,2005,248320
Benin,2010,309225
Benin,2015,366284
Benin,2020,394276
Bermuda,1990,15683
Bermuda,1995,16676
Bermuda,2000,17684
Bermuda,2005,18108
Bermuda,2010,18547
Bermuda,2015,19212
Bermuda,2020,19739
Bhutan,1990,23807
Bhutan,1995,27972
Bhutan,2000,32137
Bhutan,2005,40279
Bhutan,2010,48420
Bhutan,2015,51106
Bhutan,2020,53612
Bolivia,1990,73758
Bolivia,1995,83598
Bolivia,2000,92658
Bolivia,2005,107745
Bolivia,2010,122846
Bolivia,2015,143008
Bolivia,2020,164121
Bonaire Sint Eustatius and Saba,1990,13010
Bonaire Sint Eustatius and Saba,1995,15101
Bonaire Sint Eustatius and Saba,2000,14387
Bonaire Sint Eustatius and Saba,2005,14399
Bonaire Sint Eustatius and Saba,2010,20941
Bonaire Sint Eustatius and Saba,2015,24571
Bonaire Sint Eustatius and Saba,2020,26221
Bosnia and Herzegovina,1990,56000
Bosnia and Herzegovina,1995,69476
Bosnia and Herzegovina,2000,82952
Bosnia and Herzegovina,2005,47287
Bosnia and Herzegovina,2010,38945
Bosnia and Herzegovina,2015,38597
Bosnia and Herzegovina,2020,36042
Botswana,1990,27510
Botswana,1995,40168
Botswana,2000,74934
Botswana,2005,84661
Botswana,2010,94863
Botswana,2015,103053
Botswana,2020,110268
Brazil,1990,798517
Brazil,1995,741557
Brazil,2000,684596
Brazil,2005,638582
Brazil,2010,592640
Brazil,2015,710304
Brazil,2020,1079708
British Virgin Islands,1990,8035
British Virgin Islands,1995,10046
British Virgin Islands,2000,12958
British Virgin Islands,2005,15016
British Virgin Islands,2010,17076
British Virgin Islands,2015,19535
British Virgin Islands,2020,22164
Brunei,1990,73200
Brunei,1995,84748
Brunei,2000,96296
Brunei,2005,98441
Brunei,2010,100587
Brunei,2015,102733
Brunei,2020,111959
Bulgaria,1990,21510
Bulgaria,1995,32435
Bulgaria,2000,43360
Bulgaria,2005,61074
Bulgaria,2010,76287
Bulgaria,2015,123803
Bulgaria,2020,184363
Burkina Faso,1990,349652
Burkina Faso,1995,464104
Burkina Faso,2000,520363
Burkina Faso,2005,597658
Burkina Faso,2010,674438
Burkina Faso,2015,704676
Burkina Faso,2020,723989
Burundi,1990,333110
Burundi,1995,254853
Burundi,2000,125628
Burundi,2005,192774
Burundi,2010,247321
Burundi,2015,298299
Burundi,2020,344767
Cambodia,1990,38375
Cambodia,1995,92230
Cambodia,2000,146085
Cambodia,2005,114096
Cambodia,2010,82028
Cambodia,2015,73962
Cambodia,2020,79341
Cameroon,1990,265967
Cameroon,1995,244791
Cameroon,2000,227242
Cameroon,2005,265503
Cameroon,2010,291474
Cameroon,2015,508346
Cameroon,2020,579209
Canada,1990,4333318
Canada,1995,4864778
Canada,2000,5511914
Canada,2005,6078985
Canada,2010,6761226
Canada,2015,7428657
Canada,2020,8049323
Cape Verde,1990,8931
Cape Verde,1995,9979
Cape Verde,2000,11027
Cape Verde,2005,12700
Cape Verde,2010,14373
Cape Verde,2015,14924
Cape Verde,2020,15788
Caribbean,1990,1031083
Caribbean,1995,1121563
Caribbean,2000,1216872
Caribbean,2005,1275731
Caribbean,2010,1338893
Caribbean,2015,1501081
Caribbean,2020,1605148
Cayman Islands,1990,9315
Cayman Islands,1995,12666
Cayman Islands,2000,19176
Cayman Islands,2005,20679
Cayman Islands,2010,24062
Cayman Islands,2015,26193
Cayman Islands,2020,29242
Central African Republic,1990,67234
Central African Republic,1995,99712
Central African Republic,2000,123529
Central African Republic,2005,96409
Central African Republic,2010,94685
Central African Republic,2015,81568
Central African Republic,2020,88546
Central America,1990,1829911
Central America,1995,1298916
Central America,2000,1107577
Central America,2005,1378041
Central America,2010,1751028
Central America,2015,1860215
Central America,2020,2302001
Central Asia,1990,6630683
Central Asia,1995,5904795
Central Asia,2000,5189082
Central Asia,2005,5235877
Central Asia,2010,5264938
Central Asia,2015,5392792
Central Asia,2020,5564042
Central and Southern Asia,1990,26168623
Central and Southern Asia,1995,21247814
Central and Southern Asia,2000,20139825
Central and Southern Asia,2005,18854544
Central and Southern Asia,2010,19676783
Central and Southern Asia,2015,19266265
Central and Southern Asia,2020,19427576
Chad,1990,74342
Chad,1995,89584
Chad,2000,104825
Chad,2005,352130
Chad,2010,417034
Chad,2015,466968
Chad,2020,547494
Channel Islands,1990,61660
Channel Islands,1995,60519
Channel Islands,2000,64301
Channel Islands,2005,70941
Channel Islands,2010,77581
Channel Islands,2015,82307
Channel Islands,2020,84087
Chile,1990,107501
Chile,1995,142417
Chile,2000,177332
Chile,2005,276360
Chile,2010,375388
Chile,2015,639724
Chile,2020,1645015
China,1990,376361
China,1995,442198
China,2000,508034
China,2005,678947
China,2010,849861
China,2015,978046
China,2020,1039675
Colombia,1990,104277
Colombia,1995,106943
Colombia,2000,109609
Colombia,2005,106523
Colombia,2010,130309
Colombia,2015,159407
Colombia,2020,1905393
Comoros,1990,14079
Comoros,1995,13939
Comoros,2000,13799
Comoros,2005,13209
Comoros,2010,12618
Comoros,2015,12555
Comoros,2020,12496
Congo,1990,129391
Congo,1995,191635
Congo,2000,305880
Congo,2005,318724
Congo,2010,425173
Congo,2015,390142
Congo,2020,387606
Cook Islands,1990,2587
Cook Islands,1995,2686
Cook Islands,2000,2785
Cook Islands,2005,3277
Cook Islands,2010,3769
Cook Islands,2015,4168
Cook Islands,2020,4579
Costa Rica,1990,417628
Costa Rica,1995,364287
Costa Rica,2000,310946
Costa Rica,2005,358398
Costa Rica,2010,405779
Costa Rica,2015,411697
Costa Rica,2020,520729
Cote d'Ivoire,1990,1816426
Cote d'Ivoire,1995,2076394
Cote d'Ivoire,2000,2163644
Cote d'Ivoire,2005,2265090
Cote d'Ivoire,2010,2366537
Cote d'Ivoire,2015,2470613
Cote d'Ivoire,2020,2564857
Croatia,1990,475438
Croatia,1995,674085
Croatia,2000,585298
Croatia,2005,579273
Croatia,2010,573248
Croatia,2015,561093
Croatia,2020,528056
Cuba,1990,34555
Cuba,1995,26187
Cuba,2000,18545
Cuba,2005,11693
Cuba,2010,7373
Cuba,2015,4649
Cuba,2020,3024
Curacao,2010,34630
Curacao,2015,37611
Curacao,2020,57210
Cyprus,1990,43805
Cyprus,1995,61941
Cyprus,2000,80076
Cyprus,2005,122849
Cyprus,2010,188472
Cyprus,2015,176693
Cyprus,2020,190366
Czechia,1990,110394
Czechia,1995,165592
Czechia,2000,220789
Czechia,2005,322540
Czechia,2010,398493
Czechia,2015,416454
Czechia,2020,540921
Democratic Republic of Congo,1990,754194
Democratic Republic of Congo,1995,1816963
Democratic Republic of Congo,2000,744387
Democratic Republic of Congo,2005,623009
Democratic Republic of Congo,2010,589882
Democratic Republic of Congo,2015,810018
Democratic Republic of Congo,2020,952871
Denmark,1990,235189
Denmark,1995,303108
Denmark,2000,371026
Denmark,2005,440383
Denmark,2010,500772
Denmark,2015,595876
Denmark,2020,717574
Developed regions,1990,82767210
Developed regions,1995,92935093
Developed regions,2000,103962010
Developed regions,2005,116678357
Developed regions,2010,130562258
Developed regions,2015,140394479
Developed regions,2020,157253443
Djibouti,1990,122221
Djibouti,1995,99774
Djibouti,2000,100507
Djibouti,2005,92110
Djibouti,2010,102307
Djibouti,2015,112351
Djibouti,2020,119738
Dominica,1990,2519
Dominica,1995,3121
Dominica,2000,3723
Dominica,2005,4744
Dominica,2010,8110
Dominica,2015,8093
Dominica,2020,8284
Dominican Republic,1990,291151
Dominican Republic,1995,323381
Dominican Republic,2000,355611
Dominican Republic,2005,375417
Dominican Republic,2010,395479
Dominican Republic,2015,549289
Dominican Republic,2020,603794
East Timor,1990,8954
East Timor,1995,9743
East Timor,2000,10602
East Timor,2005,11286
East Timor,2010,11540
East Timor,2015,8520
East Timor,2020,8399
Eastern Africa,1990,5959183
Eastern Africa,1995,4977644
Eastern Africa,2000,4847119
Eastern Africa,2005,4788649
Eastern Africa,2010,4743657
Eastern Africa,2015,6696922
Eastern Africa,2020,7682801
Eastern Asia,1990,3959266
Eastern Asia,1995,4639749
Eastern Asia,2000,5393004
Eastern Asia,2005,6228684
Eastern Asia,2010,7062527
Eastern Asia,2015,7866663
Eastern Asia,2020,8975729
Eastern Europe,1990,21995312
Eastern Europe,1995,21344124
Eastern Europe,2000,20435785
Eastern Europe,2005,19744557
Eastern Europe,2010,19110686
Eastern Europe,2015,19833989
Eastern Europe,2020,20835402
Eastern and South-Eastern Asia,1990,6835882
Eastern and South-Eastern Asia,1995,8339806
Eastern and South-Eastern Asia,2000,10506212
Eastern and South-Eastern Asia,2005,12979157
Eastern and South-Eastern Asia,2010,15760463
Eastern and South-Eastern Asia,2015,18027810
Eastern and South-Eastern Asia,2020,19591106
Ecuador,1990,78663
Ecuador,1995,115093
Ecuador,2000,151523
Ecuador,2005,189893
Ecuador,2010,375253
Ecuador,2015,387513
Ecuador,2020,784787
Egypt,1990,173833
Egypt,1995,166955
Egypt,2000,184774
Egypt,2005,285006
Egypt,2010,310017
Egypt,2015,353641
Egypt,2020,543937
El Salvador,1990,47360
El Salvador,1995,39537
El Salvador,2000,31713
El Salvador,2005,36029
El Salvador,2010,40342
El Salvador,2015,42059
El Salvador,2020,42767
Equatorial Guinea,1990,2740
Equatorial Guinea,1995,3629
Equatorial Guinea,2000,4517
Equatorial Guinea,2005,6588
Equatorial Guinea,2010,8658
Equatorial Guinea,2015,209611
Equatorial Guinea,2020,230618
Eritrea,1990,11848
Eritrea,1995,12400
Eritrea,2000,12952
Eritrea,2005,15905
Eritrea,2010,15813
Eritrea,2015,15941
Eritrea,2020,13934
Estonia,1990,381997
Estonia,1995,315755
Estonia,2000,249512
Estonia,2005,233701
Estonia,2010,217890
Estonia,2015,194664
Estonia,2020,199277
Eswatini,1990,74991
Eswatini,1995,35157
Eswatini,2000,34084
Eswatini,2005,33392
Eswatini,2010,32637
Eswatini,2015,32352
Eswatini,2020,32858
Ethiopia,1990,1155390
Ethiopia,1995,806904
Ethiopia,2000,611384
Ethiopia,2005,514451
Ethiopia,2010,568748
Ethiopia,2015,1161642
Ethiopia,2020,1085517
Europe,1990,49608225
Europe,1995,53489827
Europe,2000,56858793
Europe,2005,63585731
Europe,2010,70627160
Europe,2015,74759083
Europe,2020,86706068
Europe and Northern America,1990,77218633
Europe and Northern America,1995,86830775
Europe and Northern America,2000,97210503
Europe and Northern America,2005,108948820
Europe and Northern America,2010,121597684
Europe and Northern America,2015,130392824
Europe and Northern America,2020,145414863
Falkland Islands,1990,855
Falkland Islands,1995,868
Falkland Islands,2000,1067
Falkland Islands,2005,1166
Falkland Islands,2010,1436
Falkland Islands,2015,1571
Falkland Islands,2020,1957
Faroe Islands,1990,4285
Faroe Islands,1995,2900
Faroe Islands,2000,3593
Faroe Islands,2005,4583
Faroe Islands,2010,5096
Faroe Islands,2015,5485
Faroe Islands,2020,6812
Fiji,1990,13283
Fiji,1995,13001
Fiji,2000,12719
Fiji,2005,12434
Fiji,2010,13357
Fiji,2015,13751
Fiji,2020,14087
Finland,1990,63255
Finland,1995,99729
Finland,2000,136203
Finland,2005,192169
Finland,2010,228481
Finland,2015,314856
Finland,2020,386052
France,1990,5897267
France,1995,6087993
France,2000,6278718
France,2005,6737600
France,2010,7309986
France,2015,7878338
France,2020,8524876
French Guiana,1990,63612
French Guiana,1995,70131
French Guiana,2000,76649
French Guiana,2005,86468
French Guiana,2010,96288
French Guiana,2015,106108
French Guiana,2020,119249
French Polynesia,1990,25830
French Polynesia,1995,28360
French Polynesia,2000,30329
French Polynesia,2005,32286
French Polynesia,2010,31640
French Polynesia,2015,30058
French Polynesia,2020,30081
Gabon,1990,128188
Gabon,1995,171427
Gabon,2000,214431
Gabon,2005,233824
Gabon,2010,270829
Gabon,2015,378686
Gabon,2020,416651
Gambia,1990,118123
Gambia,1995,150890
Gambia,2000,182514
Gambia,2005,181839
Gambia,2010,185837
Gambia,2015,192540
Gambia,2020,215659
Georgia,1990,304470
Georgia,1995,152235
Georgia,2000,76117
Georgia,2005,71296
Georgia,2010,73078
Georgia,2015,76685
Georgia,2020,79368
Germany,1990,5936181
Germany,1995,7464406
Germany,2000,8992631
Germany,2005,9402447
Germany,2010,9812263
Germany,2015,10220418
Germany,2020,15762457
Ghana,1990,164851
Ghana,1995,252879
Ghana,2000,191601
Ghana,2005,309932
Ghana,2010,337766
Ghana,2015,414744
Ghana,2020,476412
Gibraltar,1990,8709
Gibraltar,1995,8381
Gibraltar,2000,8054
Gibraltar,2005,9211
Gibraltar,2010,10369
Gibraltar,2015,11065
Gibraltar,2020,11190
Greece,1990,618139
Greece,1995,857850
Greece,2000,1111665
Greece,2005,1190707
Greece,2010,1321149
Greece,2015,1242924
Greece,2020,1340456
Greenland,1990,9282
Greenland,1995,7121
Greenland,2000,6601
Greenland,2005,6556
Greenland,2010,6091
Greenland,2015,6009
Greenland,2020,5899
Grenada,1990,4263
Grenada,1995,5544
Grenada,2000,6825
Grenada,2005,6902
Grenada,2010,6980
Grenada,2015,7057
Grenada,2020,7213
Guadeloupe,1990,65944
Guadeloupe,1995,74566
Guadeloupe,2000,83188
Guadeloupe,2005,89065
Guadeloupe,2010,94942
Guadeloupe,2015,90956
Guadeloupe,2020,90206
Guam,1990,69755
Guam,1995,71912
Guam,2000,74070
Guam,2005,74743
Guam,2010,75416
Guam,2015,76089
Guam,2020,80472
Guatemala,1990,264257
Guatemala,1995,156188
Guatemala,2000,48119
Guatemala,2005,57214
Guatemala,2010,66386
Guatemala,2015,74852
Guatemala,2020,84311
Guinea,1990,403621
Guinea,1995,774505
Guinea,2000,560075
Guinea,2005,233419
Guinea,2010,178762
Guinea,2015,126657
Guinea,2020,121437
Guinea-Bissau,1990,15368
Guinea-Bissau,1995,27961
Guinea-Bissau,2000,20450
Guinea-Bissau,2005,20902
Guinea-Bissau,2010,21391
Guinea-Bissau,2015,22333
Guinea-Bissau,2020,17945
Guyana,1990,4095
Guyana,1995,6352
Guyana,2000,8610
Guyana,2005,10868
Guyana,2010,8182
Guyana,2015,8661
Guyana,2020,31169
Haiti,1990,19084
Haiti,1995,18129
Haiti,2000,17222
Haiti,2005,16360
Haiti,2010,17182
Haiti,2015,18047
Haiti,2020,18884
High-income countries,1990,76295202
High-income countries,1995,87896678
High-income countries,2000,101641715
High-income countries,2005,119026154
High-income countries,2010,142642749
High-income countries,2015,158516311
High-income countries,2020,181897756
Honduras,1990,270423
Honduras,1995,149442
Honduras,2000,28461
Honduras,2005,27934
Honduras,2010,27288
Honduras,2015,38330
Honduras,2020,39195
Hong Kong,1990,2218473
Hong Kong,1995,2443798
Hong Kong,2000,2669122
Hong Kong,2005,2721235
Hong Kong,2010,2779950
Hong Kong,2015,2841113
Hong Kong,2020,2962492
Hungary,1990,347510
Hungary,1995,322234
Hungary,2000,296957
Hungary,2005,366787
Hungary,2010,436616
Hungary,2015,475508
Hungary,2020,584567
Iceland,1990,9584
Iceland,1995,12738
Iceland,2000,15892
Iceland,2005,25492
Iceland,2010,35091
Iceland,2015,39072
Iceland,2020,65424
India,1990,7594801
India,1995,6952238
India,2000,6411331
India,2005,5936740
India,2010,5574018
India,2015,5210847
India,2020,4878704
Indonesia,1990,465612
Indonesia,1995,378960
Indonesia,2000,292307
Indonesia,2005,289310
Indonesia,2010,307487
Indonesia,2015,338124
Indonesia,2020,355505
Iran,1990,4291601
Iran,1995,2937668
Iran,2000,2476469
Iran,2005,2552206
Iran,2010,2722397
Iran,2015,2729939
Iran,2020,2797235
Iraq,1990,83638
Iraq,1995,199460
Iraq,2000,210525
Iraq,2005,134863
Iraq,2010,120466
Iraq,2015,359352
Iraq,2020,365766
Ireland,1990,227961
Ireland,1995,226892
Ireland,2000,350552
Ireland,2005,589046
Ireland,2010,730542
Ireland,2015,759256
Ireland,2020,871256
Isle of Man,1990,34769
Isle of Man,1995,36886
Isle of Man,2000,39002
Isle of Man,2005,41475
Isle of Man,2010,43447
Isle of Man,2015,42238
Isle of Man,2020,43040
Israel,1990,1632704
Israel,1995,1792185
Israel,2000,1851309
Israel,2005,1889503
Israel,2010,1956190
Israel,2015,2011727
Israel,2020,1953575
Italy,1990,1428219
Italy,1995,1774954
Italy,2000,2121688
Italy,2005,3954790
Italy,2010,5787893
Italy,2015,5805328
Italy,2020,6386998
Jamaica,1990,20475
Jamaica,1995,22713
Jamaica,2000,24952
Jamaica,2005,24284
Jamaica,2010,23677
Jamaica,2015,23165
Jamaica,2020,23629
Japan,1990,1075317
Japan,1995,1362371
Japan,2000,1686444
Japan,2005,2011555
Japan,2010,2134151
Japan,2015,2232189
Japan,2020,2770996
Jordan,1990,1146349
Jordan,1995,1537097
Jordan,2000,1927845
Jordan,2005,2198740
Jordan,2010,2786853
Jordan,2015,3166961
Jordan,2020,3457691
Kazakhstan,1990,3619200
Kazakhstan,1995,3251968
Kazakhstan,2000,2874194
Kazakhstan,2005,3103027
Kazakhstan,2010,3334937
Kazakhstan,2015,3546060
Kazakhstan,2020,3732073
Kenya,1990,298089
Kenya,1995,618745
Kenya,2000,707852
Kenya,2005,773354
Kenya,2010,954925
Kenya,2015,1126886
Kenya,2020,1050147
Kiribati,1990,2162
Kiribati,1995,2223
Kiribati,2000,2283
Kiribati,2005,2487
Kiribati,2010,2868
Kiribati,2015,2919
Kiribati,2020,3126
Kuwait,1990,1074391
Kuwait,1995,921954
Kuwait,2000,1127640
Kuwait,2005,1333530
Kuwait,2010,1874812
Kuwait,2015,2866136
Kuwait,2020,3110159
Kyrgyzstan,1990,623083
Kyrgyzstan,1995,518338
Kyrgyzstan,2000,389824
Kyrgyzstan,2005,309399
Kyrgyzstan,2010,232065
Kyrgyzstan,2015,204382
Kyrgyzstan,2020,199011
Land-locked Developing Countries (LLDC),1990,14212843
Land-locked Developing Countries (LLDC),1995,12370057
Land-locked Developing Countries (LLDC),2000,11503826
Land-locked Developing Countries (LLDC),2005,11576028
Land-locked Developing Countries (LLDC),2010,11597176
Land-locked Developing Countries (LLDC),2015,13821420
Land-locked Developing Countries (LLDC),2020,15022720
Laos,1990,22866
Laos,1995,23526
Laos,2000,21948
Laos,2005,20371
Laos,2010,32955
Laos,2015,45538
Laos,2020,48731
Latin America and the Caribbean,1990,7135971
Latin America and the Caribbean,1995,6661553
Latin America and the Caribbean,2000,6539738
Latin America and the Caribbean,2005,7184113
Latin America and the Caribbean,2010,8326588
Latin America and the Caribbean,2015,9441503
Latin America and the Caribbean,2020,14794623
Latvia,1990,646007
Latvia,1995,538093
Latvia,2000,430178
Latvia,2005,376725
Latvia,2010,313786
Latvia,2015,265418
Latvia,2020,239422
Least developed countries,1990,11060221
Least developed countries,1995,11681777
Least developed countries,2000,10063948
Least developed countries,2005,9792011
Least developed countries,2010,10431876
Least developed countries,2015,13440115
Least developed countries,2020,16184725
Lebanon,1990,523693
Lebanon,1995,608303
Lebanon,2000,692913
Lebanon,2005,742243
Lebanon,2010,793191
Lebanon,2015,1916259
Lebanon,2020,1712762
Lesotho,1990,8240
Lesotho,1995,7204
Lesotho,2000,6167
Lesotho,2005,6290
Lesotho,2010,6414
Lesotho,2015,9152
Lesotho,2020,12060
Less developed regions,1990,70218947
Less developed regions,1995,68354883
Less developed regions,2000,69268575
Less developed regions,2005,74768471
Less developed regions,2010,90420929
Less developed regions,2015,107564165
Less developed regions,2020,123344662
"Less developed regions, excluding China",1990,67419066
"Less developed regions, excluding China",1995,65243958
"Less developed regions, excluding China",2000,65850628
"Less developed regions, excluding China",2005,71088981
"Less developed regions, excluding China",2010,86472612
"Less developed regions, excluding China",2015,103368940
"Less developed regions, excluding China",2020,118939005
"Less developed regions, excluding least developed countries",1990,59158726
"Less developed regions, excluding least developed countries",1995,56673106
"Less developed regions, excluding least developed countries",2000,59204627
"Less developed regions, excluding least developed countries",2005,64976460
"Less developed regions, excluding least developed countries",2010,79989053
"Less developed regions, excluding least developed countries",2015,94124050
"Less developed regions, excluding least developed countries",2020,107159937
Liberia,1990,94964
Liberia,1995,208563
Liberia,2000,151868
Liberia,2005,87217
Liberia,2010,99165
Liberia,2015,112111
Liberia,2020,87947
Libya,1990,457075
Libya,1995,508041
Libya,2000,567436
Libya,2005,625412
Libya,2010,687192
Libya,2015,771146
Libya,2020,826537
Liechtenstein,1990,10906
Liechtenstein,1995,13311
Liechtenstein,2000,15483
Liechtenstein,2005,18898
